"","X.2","X.1","X","id","year","date_start","conflict_name","dyad_name","longitude","latitude","where_prec","priogrid_gid","country","country_id","deaths_a","deaths_b","deaths_civilians","deaths_unknown","side_a_new_id","side_a","side_a_relevant","side_b_new_id","side_b","side_b_relevant","deaths_battle","deaths_total","event_relevant","event_civilians","event_community","event_rel_out"
"1",1,1,1,7575,2009,"2009-05-30","Sudan:Government","Government of Sudan - JEM",22.91,15.55,1,152326,"Chad",483,0,0,1,0,112,"Government of Sudan",NA,468,"JEM",NA,0,1,0,0,0,0
"2",2,2,2,8063,2009,"2009-05-30","Sudan:Government","Government of Sudan - JEM",22.91,15.55,1,152326,"Chad",483,0,0,1,0,112,"Government of Sudan",NA,468,"JEM",NA,0,1,0,0,0,0
"3",3,3,3,8194,2009,"2009-05-30","Sudan:Government","Government of Sudan - JEM",21.5,15,5,151604,"Chad",483,0,0,1,0,112,"Government of Sudan",NA,468,"JEM",NA,0,1,0,0,0,0
"4",4,4,4,9040,2009,"2009-05-30","Sudan:Government","Government of Sudan - JEM",21.5,15,5,151604,"Chad",483,0,0,1,0,112,"Government of Sudan",NA,468,"JEM",NA,0,1,0,0,0,0
"5",5,5,5,11988,2009,"2009-05-01","Chad:Government","Government of Chad - UFR",20.916667,12.4,1,147282,"Chad",483,0,50,0,0,87,"Government of Chad",1,1069,"UFR",NA,50,50,0,0,0,0
"6",6,6,6,12061,2009,"2009-05-14","Chad:Government","Government of Chad - UFR",21.683333,12.016667,1,147284,"Chad",483,0,0,3,0,87,"Government of Chad",1,1069,"UFR",NA,0,3,0,0,0,0
"7",7,7,7,12132,2009,"2009-04-18","Chad:Government","Government of Chad - UFR",22.416667,14.216667,2,150165,"Chad",483,0,1,0,0,87,"Government of Chad",1,1069,"UFR",NA,1,1,0,0,0,0
"8",8,8,8,12173,2010,"2010-04-24","Chad:Government","Government of Chad - PFNR",22.83187,10.937151,2,145126,"Chad",483,2,2,0,0,87,"Government of Chad",1,1112,"PFNR",NA,4,4,0,0,0,0
"9",9,9,9,12265,2009,"2009-05-07","Chad:Government","Government of Chad - UFR",20.916667,14.533333,5,150882,"Chad",483,0,0,0,2,87,"Government of Chad",1,1069,"UFR",NA,0,2,0,0,0,0
"10",10,10,10,12330,2009,"2009-05-01","Chad:Government","Government of Chad - UFR",20.483333,12.766667,1,148001,"Chad",483,0,50,0,0,87,"Government of Chad",1,1069,"UFR",NA,50,50,0,0,0,0
"11",11,11,11,12332,2009,"2009-05-07","Chad:Government","Government of Chad - UFR",20.483333,12.766667,1,148001,"Chad",483,22,0,0,0,87,"Government of Chad",1,1069,"UFR",NA,22,22,0,0,0,0
"12",12,12,12,12344,2009,"2009-05-29","Chad:Government","Government of Chad - UFR",21.416667,12.216667,1,147283,"Chad",483,0,0,3,0,87,"Government of Chad",1,1069,"UFR",NA,0,3,0,0,0,0
"13",13,13,13,15720,2009,"2009-07-26","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",10,10.5,4,145101,"Nigeria",475,2,9,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,11,11,1,0,0,0
"14",14,14,14,15733,2009,"2009-07-26","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",9.843273,10.313441,1,144380,"Nigeria",475,1,37,3,1,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,38,42,1,0,0,0
"15",15,15,15,15742,2010,"2010-10-14","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",9.843273,10.313441,1,144380,"Nigeria",475,2,0,0,0,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,2,1,0,0,0
"16",16,16,16,15750,2009,"2009-02-21","Christians (Nigeria) - Muslims (Nigeria)","Christians (Nigeria) - Muslims (Nigeria)",9.843273,10.313441,1,144380,"Nigeria",475,0,0,0,11,1020,"Christians (Nigeria)",NA,1021,"Muslims (Nigeria)",NA,0,11,0,0,1,0
"17",17,17,17,15760,2010,"2010-09-07","Nigeria:Government","Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",9.843273,10.313441,1,144380,"Nigeria",475,2,0,0,2,84,"Government of Nigeria",1,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,2,4,1,0,0,0
"18",18,18,18,15838,2009,"2009-02-20","Greenlanders - NDV","Greenlanders - NDV",6.264167,4.924722,1,136453,"Nigeria",475,2,0,0,0,1173,"Greenlanders",NA,657,"NDV",NA,2,2,0,0,0,0
"19",19,19,19,15843,2009,"2009-03-16","Greenlanders - NDV","Greenlanders - NDV",6.264167,4.924722,1,136453,"Nigeria",475,0,0,1,2,1173,"Greenlanders",NA,657,"NDV",NA,0,3,0,0,0,0
"20",20,20,20,15872,2010,"2010-06-22","Fulani - Tiv","Fulani - Tiv",8.75,7.333333,4,140058,"Nigeria",475,0,0,0,4,607,"Fulani",NA,1032,"Tiv",NA,0,4,0,0,0,0
"21",21,21,21,15940,2010,"2010-09-05","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians","Jama'atu Ahlis Sunna Lidda'awati wal-Jihad - Civilians",13,11.5,4,146547,"Nigeria",475,0,0,1,0,1051,"Jama'atu Ahlis Sunna Lidda'awati wal-Jihad",1,1,"Civilians",NA,0,1,0,1,0,0
