"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","farc_eln_involved"
"1",442334,2022,"2022-06-08 00:00:00.000",-74.333333,9,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"2",444862,2022,"2022-07-21 00:00:00.000",-73.166667,8.75,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"3",427136,2022,"2022-01-25 00:00:00.000",-76.833333,2.5,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",1,1,0,"FARC"
"4",428793,2022,"2022-02-10 00:00:00.000",-73.70687,3.54625,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",2,1,0,"FARC"
"5",430199,2022,"2022-02-24 00:00:00.000",-70.965,6.41889,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",23,1,0,"FARC"
"6",452123,2022,"2022-03-20 00:00:00.000",-77,2.5,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",1,1,0,"FARC"
"7",434285,2022,"2022-03-26 00:00:00.000",-74.062827,4.649178,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",2,1,0,"FARC"
"8",434286,2022,"2022-03-29 00:00:00.000",-74.062827,4.649178,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",1,1,0,"FARC"
"9",437288,2022,"2022-04-13 00:00:00.000",-73,3.5,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",4,1,0,"FARC"
"10",437289,2022,"2022-04-29 00:00:00.000",-71.1,6.280477,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",6,1,0,"FARC"
"11",437861,2022,"2022-05-01 00:00:00.000",-71.1,6.280477,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",6,1,0,"FARC"
"12",442330,2022,"2022-06-10 00:00:00.000",-75.333333,6.45,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",1,1,0,"FARC"
"13",442316,2022,"2022-06-13 00:00:00.000",-76.80702,2.90569,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",1,1,0,"FARC"
"14",444106,2022,"2022-07-08 00:00:00.000",-74.788889,2.1525,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",10,1,0,"FARC"
"15",447982,2022,"2022-09-02 00:00:00.000",-75.484771,3.081749,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",7,1,0,"FARC"
"16",457876,2022,"2022-12-06 00:00:00.000",-76.642748,3.015033,"Government of Colombia - FARC - Mordisco","Government of Colombia","FARC - Mordisco",6,1,0,"FARC"
"17",425372,2022,"2022-01-03 00:00:00.000",-71.78389,6.39833,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",9,1,0,"FARC and ELN"
"18",425396,2022,"2022-01-03 00:00:00.000",-71.856667,6.746111,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",5,1,0,"FARC and ELN"
"19",425397,2022,"2022-01-03 00:00:00.000",-71.853333,6.920556,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",10,1,0,"FARC and ELN"
"20",427129,2022,"2022-01-20 00:00:00.000",-71.87523,6.953758,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",1,1,0,"FARC and ELN"
"21",451394,2022,"2022-01-25 00:00:00.000",-77.583333,2.75,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",3,1,0,"FARC and ELN"
"22",451411,2022,"2022-01-28 00:00:00.000",-77.6,2.416667,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",5,1,0,"FARC and ELN"
"23",451414,2022,"2022-01-30 00:00:00.000",-71.853333,6.920556,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",1,1,0,"FARC and ELN"
"24",452221,2022,"2022-06-20 00:00:00.000",-71.78389,6.39833,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",1,1,0,"FARC and ELN"
"25",453698,2022,"2022-10-20 00:00:00.000",-77.03545,3.86425,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",1,1,0,"FARC and ELN"
"26",434769,2022,"2022-01-28 00:00:00.000",-67.45563,6.20626,"FARC - Mordisco  - ELN","FARC - Mordisco","ELN",2,1,0,"FARC and ELN"
"27",83870,2008,"2008-01-01",-76.874753,2.500739,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"28",115492,2005,"2005-05-01",-75.5,7,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"29",115493,2005,"2005-05-02",-75.25,6,"Government of Colombia - ELN","Government of Colombia","ELN",4,1,0,"ELN"
"30",115509,2005,"2005-05-09",-75.083333,7.166667,"Government of Colombia - ELN","Government of Colombia","ELN",1,1,0,"ELN"
"31",115511,2005,"2005-02-02",-75.392396,1.211122,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"32",115512,2005,"2005-03-21",-73.833333,4.583333,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"33",115513,2005,"2005-05-08",-75.333333,10.35,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"34",115514,2005,"2005-06-14",-74.495688,9.445719,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"35",115515,2005,"2005-08-07",-76.262747,3.173011,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
"36",115516,2005,"2005-10-15",-76.25,7,"Government of Colombia - FARC","Government of Colombia","FARC",6,1,0,"FARC"
"37",115517,2005,"2005-12-25",-76.25,7,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"38",115518,2007,"2007-01-14",-76.500748,0.513278,"Government of Colombia - FARC","Government of Colombia","FARC",5,1,0,"FARC"
"39",115519,2008,"2008-06-05",-75.666667,4.25,"Government of Colombia - FARC","Government of Colombia","FARC",3,1,0,"FARC"
"40",115520,2010,"2010-05-02",-76.833333,2.5,"Government of Colombia - FARC","Government of Colombia","FARC",1,1,0,"FARC"
"41",115848,2008,"2008-06-23",-76.483165,2.797395,"Government of Colombia - FARC","Government of Colombia","FARC",2,1,0,"FARC"
