"","id","year","date_start","longitude","latitude","dyad_name","side_a","side_b","deaths_total","event_relevant","event_civilians","al_shabaab_involved","al_shabaab_involved_txt"
"1",236544,2017,"2017-01-23 00:00:00.000",41.867011,3.936631,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
"2",236551,2017,"2017-02-02 00:00:00.000",41.867011,3.936631,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
"3",236562,2017,"2017-02-26 00:00:00.000",39.2,-4.133333,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
"4",237028,2017,"2017-03-08 00:00:00.000",40.899148,-2.269248,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
"5",237919,2017,"2017-05-15 00:00:00.000",41.867011,3.936631,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
"6",238084,2017,"2017-05-16 00:00:00.000",40.954815,0.398519,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",4,1,0,1,"Yes"
"7",238116,2017,"2017-05-24 00:00:00.000",40.954815,0.398519,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",3,1,0,1,"Yes"
"8",238121,2017,"2017-05-25 00:00:00.000",40.25,-0.5,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",2,1,0,1,"Yes"
"9",238122,2017,"2017-05-29 00:00:00.000",39.416667,-1.533333,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",3,1,0,1,"Yes"
"10",238126,2017,"2017-05-31 00:00:00.000",41.49081,-1.74544,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",8,1,0,1,"Yes"
"11",238880,2017,"2017-06-23 00:00:00.000",40.92966,2.811916,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",3,1,0,1,"Yes"
"12",239520,2017,"2017-07-05 00:00:00.000",40.47781,-2.234716,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",6,1,0,1,"Yes"
"13",239555,2017,"2017-07-13 00:00:00.000",40.7,-2.216667,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",7,1,0,1,"Yes"
"14",240437,2017,"2017-08-03 00:00:00.000",41.18577,3.15106,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",3,1,0,1,"Yes"
"15",240692,2017,"2017-08-18 00:00:00.000",39.666667,-4.05,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
"16",240725,2017,"2017-08-28 00:00:00.000",41.32564,3.15972,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",2,1,0,1,"Yes"
"17",241601,2017,"2017-09-03 00:00:00.000",39.56404,-4.2929,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",2,1,0,1,"Yes"
"18",241901,2017,"2017-09-11 00:00:00.000",40.783333,-2.033333,"Government of Kenya - Al-Shabaab","Government of Kenya","Al-Shabaab",1,1,0,1,"Yes"
