,id,year,dyad_name,longitude,latitude,country,country_id,side_a_new_id,side_a,side_b_new_id,side_b,deaths_total,event_civilian,event_relevant,boko_haram_involved,
1,13891,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13,11.5,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
2,13900,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,12.5,9.333333,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
3,13989,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11.5,12,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
4,15629,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,8.5,11.5,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
5,15720,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,10,10.5,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,11,0,1,0,Yes
6,15733,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,9.843273,10.313441,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,42,0,1,0,Yes
7,15742,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,9.843273,10.313441,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,2,0,1,0,Yes
8,15760,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,9.843273,10.313441,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,4,0,1,0,Yes
9,15954,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
10,15957,2010,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
11,15958,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,90,0,1,0,Yes
12,15960,2009,Government of Nigeria - Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,13.160274,11.84644,Nigeria,475,84,Government of Nigeria,1051,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,0,0,1,0,Yes
