year,date_start,longitude,latitude,side_a,side_b,deaths_total,event_relevant,myanmar_gov_involved
2000,2000-11-10 00:00:00.000,92.215,21.267122,Government of Myanmar (Burma),RSO,11,1,Yes
2020,2020-03-16 00:00:00.000,92.4429,21.4475,Government of Myanmar (Burma),ULA,1,1,Yes
2020,2020-10-23 00:00:00.000,92.4429,21.4475,Government of Myanmar (Burma),ULA,1,1,Yes
2009,2009-08-27 00:00:00.000,98.553406,24.114939,Government of Myanmar (Burma),MNDAA,1,1,Yes
2009,2009-08-28 00:00:00.000,101.5,25,Government of Myanmar (Burma),MNDAA,1,1,Yes
2015,2015-03-13 00:00:00.000,100.08,23.88,Government of Myanmar (Burma),MNDAA,5,1,Yes
1999,1999-11-29 00:00:00.000,94.25,26,Government of India,NSCN-IM,2,1,No
2000,2000-02-29 00:00:00.000,93.55,24.966667,Government of India,NSCN-IM,1,1,No
2000,2000-07-11 00:00:00.000,93.212451,24.910088,Government of India,NSCN-IM,12,1,No
2000,2000-07-30 00:00:00.000,94.113899,25.487141,Government of India,NSCN-IM,4,1,No
2000,2000-08-22 00:00:00.000,91.333333,25.5,Government of India,NSCN-IM,3,1,No
2000,2000-09-13 00:00:00.000,93.437332,25.847024,Government of India,NSCN-IM,10,1,No
2001,2001-01-26 00:00:00.000,93.866667,26.4,Government of India,NSCN-IM,2,1,No
2001,2001-04-11 00:00:00.000,93.027839,25.191488,Government of India,NSCN-IM,3,1,No
2001,2001-07-20 00:00:00.000,95.452438,26.964992,Government of India,NSCN-IM,6,1,No
2001,2001-07-22 00:00:00.000,94,25,Government of India,NSCN-IM,3,1,No
2001,2001-09-05 00:00:00.000,93,26,Government of India,NSCN-IM,2,1,No
2001,2001-10-04 00:00:00.000,92.933952,24.815129,Government of India,NSCN-IM,2,1,No
2002,2002-03-16 00:00:00.000,94.016667,24.633333,Government of India,NSCN-IM,11,1,No
2003,2003-02-26 00:00:00.000,94.1077,25.6701,Government of India,NSCN-IM,1,1,No
2005,2005-10-05 00:00:00.000,91.5,25.5,Government of India,NSCN-IM,5,1,No
2005,2005-10-05 00:00:00.000,91.5,25.5,Government of India,NSCN-IM,5,1,No
2006,2006-06-07 00:00:00.000,95,27.5,Government of India,NSCN-IM,1,1,No
2006,2006-07-26 00:00:00.000,94.266667,24.333333,Government of India,NSCN-IM,1,1,No
2007,2007-10-29 00:00:00.000,93.5,26,Government of India,NSCN-IM,1,1,No
2009,2009-02-13 00:00:00.000,94,25,Government of India,NSCN-IM,3,1,No
2009,2009-03-31 00:00:00.000,93.55,24.966667,Government of India,NSCN-IM,1,1,No
2009,2009-07-03 00:00:00.000,93.250579,25.231647,Government of India,NSCN-IM,1,1,No
2009,2009-08-12 00:00:00.000,94.297302,24.877321,Government of India,NSCN-IM,3,1,No
2010,2010-08-26 00:00:00.000,95.082629,26.903287,Government of India,NSCN-IM,1,1,No
2011,2011-04-15 00:00:00.000,94.158874,24.860832,Government of India,NSCN-IM,8,1,No
2012,2012-05-18 00:00:00.000,93.17601,25.100803,Government of India,NSCN-IM,1,1,No
2012,2012-08-31 00:00:00.000,93.023109,25.680461,Government of India,NSCN-IM,1,1,No
2012,2012-09-01 00:00:00.000,93.023109,25.680461,Government of India,NSCN-IM,1,1,No
2012,2012-11-21 00:00:00.000,93.212753,25.170417,Government of India,NSCN-IM,1,1,No
2012,2012-11-24 00:00:00.000,93.027839,25.191488,Government of India,NSCN-IM,1,1,No
2012,2012-12-21 00:00:00.000,94.026406,25.272717,Government of India,NSCN-IM,1,1,No
2013,2013-02-27 00:00:00.000,94.287345,26.327806,Government of India,NSCN-IM,1,1,No
2013,2013-05-08 00:00:00.000,95.452438,26.964992,Government of India,NSCN-IM,2,1,No
2014,2014-01-02 00:00:00.000,95.382102,27.002836,Government of India,NSCN-IM,4,1,No
2014,2014-08-01 00:00:00.000,93.194946,25.180612,Government of India,NSCN-IM,2,1,No
2014,2014-09-09 00:00:00.000,94.434883,25.004792,Government of India,NSCN-IM,1,1,No
2014,2014-10-20 00:00:00.000,95.534507,26.931341,Government of India,NSCN-IM,2,1,No
2014,2014-11-04 00:00:00.000,95,27.5,Government of India,NSCN-IM,3,1,No
2014,2014-11-04 00:00:00.000,93.346717,25.223964,Government of India,NSCN-IM,2,1,No
1999,1999-08-19 00:00:00.000,94.166667,25.75,NSCN-IM,NSCN-K,3,1,No
2001,2001-04-01 00:00:00.000,95.076171,26.666633,NSCN-IM,NSCN-K,45,1,No
2001,2001-06-08 00:00:00.000,94.628959,26.639101,NSCN-IM,NSCN-K,4,1,No
2001,2001-10-24 00:00:00.000,93.78508,25.77852,NSCN-IM,NSCN-K,3,1,No
2001,2001-11-17 00:00:00.000,94.16667,25.75,NSCN-IM,NSCN-K,3,1,No
2001,2001-11-19 00:00:00.000,94.16667,25.75,NSCN-IM,NSCN-K,1,1,No
2001,2001-12-11 00:00:00.000,94.16667,25.75,NSCN-IM,NSCN-K,3,1,No
2002,2002-08-23 00:00:00.000,93.767005,25.750421,NSCN-IM,NSCN-K,3,1,No
2002,2002-08-24 00:00:00.000,94.627917,26.095448,NSCN-IM,NSCN-K,1,1,No
2003,2003-01-31 00:00:00.000,94.542106,26.024707,NSCN-IM,NSCN-K,3,1,No
2003,2003-02-10 00:00:00.000,94.25,26,NSCN-IM,NSCN-K,2,1,No
2003,2003-08-02 00:00:00.000,94.1077,25.6701,NSCN-IM,NSCN-K,2,1,No
2003,2003-08-29 00:00:00.000,94.096885,25.626329,NSCN-IM,NSCN-K,1,1,No
2003,2003-09-05 00:00:00.000,95.041862,26.877712,NSCN-IM,NSCN-K,3,1,No
2003,2003-09-10 00:00:00.000,94.1077,25.6701,NSCN-IM,NSCN-K,3,1,No
2003,2003-11-19 00:00:00.000,94.802505,26.796962,NSCN-IM,NSCN-K,1,1,No
2004,2004-11-16 00:00:00.000,94.839157,26.15471,NSCN-IM,NSCN-K,3,1,No
2005,2005-02-25 00:00:00.000,93.613235,25.500738,NSCN-IM,NSCN-K,2,1,No
2005,2005-03-01 00:00:00.000,95.041862,26.877712,NSCN-IM,NSCN-K,1,1,No
2005,2005-03-12 00:00:00.000,95.05841,26.73583,NSCN-IM,NSCN-K,1,1,No
2005,2005-03-24 00:00:00.000,94.627917,26.095448,NSCN-IM,NSCN-K,10,1,No
2005,2005-03-27 00:00:00.000,94.542106,26.024707,NSCN-IM,NSCN-K,2,1,No
2005,2005-03-29 00:00:00.000,94.839157,26.15471,NSCN-IM,NSCN-K,4,1,No
2005,2005-04-12 00:00:00.000,93.28492,24.731754,NSCN-IM,NSCN-K,2,1,No
2005,2005-06-13 00:00:00.000,94.09246,26.265117,NSCN-IM,NSCN-K,2,1,No
2005,2005-09-10 00:00:00.000,93.613235,25.500738,NSCN-IM,NSCN-K,2,1,No
2005,2005-10-05 00:00:00.000,94.999572,26.894866,NSCN-IM,NSCN-K,2,1,No
2005,2005-12-05 00:00:00.000,93.613235,25.500738,NSCN-IM,NSCN-K,1,1,No
2006,2006-01-08 00:00:00.000,95.195182,26.892766,NSCN-IM,NSCN-K,3,1,No
2006,2006-02-03 00:00:00.000,93.55,24.966667,NSCN-IM,NSCN-K,1,1,No
2006,2006-02-08 00:00:00.000,95.082629,26.903287,NSCN-IM,NSCN-K,1,1,No
2006,2006-02-09 00:00:00.000,94.109359,25.708696,NSCN-IM,NSCN-K,2,1,No
2006,2006-02-24 00:00:00.000,95.082629,26.903287,NSCN-IM,NSCN-K,1,1,No
2006,2006-04-07 00:00:00.000,94.695045,25.670576,NSCN-IM,NSCN-K,1,1,No
2006,2006-04-15 00:00:00.000,94.993995,26.774255,NSCN-IM,NSCN-K,3,1,No
2006,2006-05-06 00:00:00.000,94.447212,25.65625,NSCN-IM,NSCN-K,2,1,No
2006,2006-05-16 00:00:00.000,93.613235,25.500738,NSCN-IM,NSCN-K,2,1,No
2006,2006-05-19 00:00:00.000,95.076171,26.666633,NSCN-IM,NSCN-K,1,1,No
