"","eventid","iyear","longitude","latitude","nkill","suicide_txt"
"1",200706010007,2007-01-01,51.077309,11.285483,8,"No"
"2",200706010016,2007-01-01,45.326115,2.059819,1,"No"
"3",200706030001,2007-01-01,45.326115,2.059819,8,"Yes"
"4",200706040031,2007-01-01,45.326115,2.059819,2,"No"
"5",200706040036,2007-01-01,45.326115,2.059819,3,"No"
"6",200706040038,2007-01-01,45.326115,2.059819,0,"No"
"7",200706040047,2007-01-01,45.326115,2.059819,1,"No"
"8",200706140022,2007-01-01,45.326115,2.059819,1,"No"
"9",200710090001,2007-01-01,45.326115,2.059819,2,"No"
"10",200712310001,2007-01-01,45.326115,2.059819,NA,"No"
"11",200802160002,2008-01-01,45.326115,2.059819,0,"No"
"12",200804090007,2008-01-01,45.326115,2.059819,NA,"No"
"13",200804130011,2008-01-01,45.2024,4.73538,4,"No"
"14",200805040033,2008-01-01,49.179657,11.274796,0,"No"
"15",200805110022,2008-01-01,45.326115,2.059819,4,"No"
"16",200805160016,2008-01-01,45.383671,2.359127,0,"No"
"17",200805160017,2008-01-01,42.97707,2.405815,0,"No"
"18",200805310006,2008-01-01,40.875992,0.349466,0,"No"
"19",200806100008,2008-01-01,45.326115,2.059819,0,"No"
"20",200806280014,2008-01-01,43.890526,4.120602,1,"No"
"21",200807070030,2008-01-01,43.64658,3.115641,11,"No"
"22",200807130008,2008-01-01,44.07856,2.798167,0,"No"
"23",200807210014,2008-01-01,43.64658,3.115641,3,"No"
"24",200807260024,2008-01-01,45.326115,2.059819,10,"No"
"25",200808150021,2008-01-01,45.183648,2.088511,11,"No"
"26",200808200009,2008-01-01,42.54665,-0.357847,28,"No"
"27",200809090023,2008-01-01,43.64658,3.115641,1,"No"
"28",200810060010,2008-01-01,45.326115,2.059819,6,"No"
"29",200810070004,2008-01-01,45.326115,2.059819,20,"No"
"30",200810180014,2008-01-01,43.890526,4.120602,1,"No"
"31",200810190048,2008-01-01,43.890526,4.120602,1,"No"
"32",200811090014,2008-01-01,43.64658,3.115641,1,"No"
"33",200812040036,2008-01-01,45.880356,5.308011,0,"No"
"34",200812200009,2008-01-01,45.326115,2.059819,0,"No"
"35",200812270005,2008-01-01,45.880356,5.308011,10,"No"
"36",200812290026,2008-01-01,45.326115,2.059819,0,"No"
"37",200901010001,2009-01-01,45.326115,2.059819,8,"No"
"38",200901080017,2009-01-01,42.218563,3.32728,4,"No"
"39",200901140004,2009-01-01,45.326115,2.059819,5,"No"
"40",200901160004,2009-01-01,42.54665,-0.357847,1,"No"
"41",200901260017,2009-01-01,43.64658,3.115641,0,"No"
"42",200902040002,2009-01-01,45.326115,2.059819,1,"No"
"43",200902040019,2009-01-01,44.768864,1.716188,0,"No"
"44",200902070005,2009-01-01,45.326115,2.059819,1,"No"
"45",200902090022,2009-01-01,45.118061,2.14383,0,"No"
"46",200902120028,2009-01-01,45.326115,2.059819,4,"No"
"47",200902230001,2009-01-01,45.270646,2.009957,7,"No"
"48",200903040020,2009-01-01,47.429031,6.774396,1,"No"
"49",200903110021,2009-01-01,45.326115,2.059819,4,"No"
"50",200903160013,2009-01-01,43.246506,3.810951,0,"No"
