event_id_cnty,event_date,year,event_type,actor1,actor2,latitude,longitude,fatalities,dyad_name
UKR63074,08/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),48.8533,37.6065,1,Military Forces of Russia (2000-) - Military Forces of Ukraine (2019-)
UKR62858,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),48.1394,37.7497,1,Military Forces of Russia (2000-) Air Force - Civilians (Ukraine)
UKR62894,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),49.9808,36.2527,3,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62942,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),48.6284,38.1311,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62957,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),48.8726,38.096,1,Military Forces of Russia (2000-) - Military Forces of Ukraine (2019-)
UKR62960,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),48.8533,37.6065,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62966,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),47.5867,35.356,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62895,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),Military Forces of Russia (2000-),46.6558,32.6178,12,Military Forces of Ukraine (2019-) - Military Forces of Russia (2000-)
UKR62921,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Military Forces of Russia (2000-),47.8195,36.8092,1,Military Forces of Russia (2000-) - Military Forces of Russia (2000-)
UKR62900,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),48.7306,37.5816,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62974,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),46.7369,31.1843,2,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62972,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),50.0824,36.3857,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62882,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,47.9495,37.6138,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR62878,07/07/2022 00:00,2022,Battles,NAF: United Armed Forces of Novorossiya,Military Forces of Ukraine (2019-),48.015,37.8014,3,NAF: United Armed Forces of Novorossiya - Military Forces of Ukraine (2019-)
UKR62958,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),46.1161,32.9112,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62939,07/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),48.1635,37.645,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62804,06/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.0464,37.9693,3,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR62813,06/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.4621,38.2753,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR62814,06/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),46.9442,31.5511,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62786,06/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,47.9495,37.6138,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR62792,06/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-),Civilians (Ukraine),49.9808,36.2527,1,Military Forces of Russia (2000-) - Civilians (Ukraine)
UKR62680,05/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),48.1394,37.7497,2,Military Forces of Russia (2000-) Air Force - Civilians (Ukraine)
UKR62750,05/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Russia (2000-) Air Force,Civilians (Ukraine),48.8533,37.6065,2,Military Forces of Russia (2000-) Air Force - Civilians (Ukraine)
UKR62698,05/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,47.9857,37.8625,2,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
UKR62700,05/07/2022 00:00,2022,Explosions/Remote violence,Military Forces of Ukraine (2019-),NAF: United Armed Forces of Novorossiya,48.0177,37.8063,1,Military Forces of Ukraine (2019-) - NAF: United Armed Forces of Novorossiya
